index,output
0,1
1,0
2,1
3,1
4,0
5,0
6,0
7,1
8,1
9,1
10,0
11,0
12,1
13,1
14,0
15,1
16,0
17,1
18,1
19,0
20,0
21,1
22,1
23,1
24,1
25,0
26,1
27,1
28,1
29,0
30,0
31,1
32,1
33,0
34,1
35,0
36,0
37,1
38,1
39,1
40,0
41,1
42,1
43,1
44,0
45,0
46,0
47,1
48,1
49,1
50,0
51,0
52,1
53,1
54,0
55,1
56,0
57,0
58,0
59,0
60,0
61,0
62,0
63,1
64,0
65,1
66,1
67,0
68,1
69,0
70,0
71,0
72,1
73,0
74,1
75,0
76,1
77,1
78,0
79,0
80,0
81,0
82,1
83,0
84,1
85,0
86,0
87,1
88,0
89,1
90,0
91,1
92,0
93,0
94,0
95,0
96,0
97,0
98,1
99,1
100,0
101,0
102,1
103,1
104,0
105,0
106,1
107,1
108,0
109,0
110,1
111,0
112,1
113,0
114,0
115,1
116,0
117,1
118,0
119,1
120,0
121,0
122,0
123,1
124,0
125,1
126,0
127,1
128,1
129,1
130,0
131,1
132,1
133,1
134,0
135,0
136,0
137,1
138,1
139,0
140,1
141,1
142,1
143,0
144,1
145,0
146,0
147,0
148,0
149,1
150,1
151,0
152,1
153,0
154,1
155,0
156,0
157,0
158,1
159,1
160,1
161,0
162,1
163,0
164,1
165,1
166,0
167,0
168,1
169,1
170,0
171,0
172,1
173,0
174,1
175,1
176,0
177,1
178,1
179,0
180,0
181,1
182,1
183,0
184,0
185,1
186,0
187,0
188,0
189,1
190,0
191,0
192,0
193,0
194,1
195,0
196,0
197,1
198,0
199,0
200,0
201,1
202,1
203,1
204,1
205,0
206,0
207,1
208,0
209,1
210,0
211,1
212,1
213,1
214,0
215,0
216,1
217,0
218,0
219,1
220,1
221,1
222,1
223,1
224,0
225,1
226,1
227,0
228,0
229,1
230,0
231,0
232,0
233,1
234,0
235,0
236,1
237,1
238,0
239,0
240,1
241,1
242,0
243,0
244,1
245,0
246,0
247,1
248,1
249,1
250,0
251,1
252,0
253,0
254,0
255,0
256,0
257,0
258,0
259,1
260,1
261,1
262,0
263,0
264,0
265,1
266,0
267,1
268,0
269,1
270,1
271,0
272,1
273,1
274,1
275,0
276,0
277,1
278,1
279,1
280,0
281,0
282,0
283,0
284,0
285,1
286,0
287,1
288,1
289,0
290,0
291,1
292,0
293,0
294,0
295,0
296,1
297,1
298,1
299,1
300,1
301,1
302,1
303,1
304,0
305,1
306,0
307,0
308,0
309,0
310,0
311,0
312,0
313,1
314,0
315,1
316,1
317,0
318,0
319,1
320,1
321,1
322,0
323,1
324,0
325,0
326,1
327,0
328,0
329,0
330,1
331,1
332,0
333,0
334,0
335,0
336,0
337,1
338,0
339,0
340,0
341,0
342,0
343,0
344,0
345,1
346,0
347,0
348,0
349,1
350,0
351,1
352,1
353,0
354,0
355,0
356,0
357,0
358,0
359,1
360,0
361,0
362,0
363,0
364,0
365,1
366,0
367,0
368,0
369,0
370,1
371,0
372,0
373,0
374,0
375,1
376,0
377,1
378,1
379,0
380,1
381,0
382,1
383,1
384,0
385,1
386,0
387,1
388,1
389,0
390,0
391,1
392,1
393,1
394,1
395,1
396,0
397,0
398,1
399,1
400,0
401,0
402,1
403,0
404,0
405,1
406,1
407,0
408,0
409,0
410,1
411,0
412,1
413,0
414,1
415,1
416,1
417,1
418,0
419,0
420,1
421,0
422,1
423,0
424,1
425,1
426,0
427,1
428,1
429,1
430,0
431,0
432,0
433,0
434,1
435,0
436,0
437,1
438,0
439,1
440,0
441,0
442,1
443,1
444,0
445,1
446,0
447,0
448,1
449,1
450,0
451,1
452,1
453,0
454,1
455,0
456,0
457,0
458,0
459,1
460,1
461,1
462,0
463,1
464,0
465,0
466,0
467,0
468,0
469,0
470,0
471,1
472,0
473,0
474,1
475,0
476,1
477,0
478,1
479,0
480,0
481,0
482,0
483,1
484,1
485,1
486,0
487,1
488,0
489,1
490,0
491,1
492,1
493,0
494,1
495,1
496,0
497,0
498,0
499,0
500,0
501,1
502,0
503,0
504,1
505,0
506,0
507,0
508,0
509,0
510,1
511,0
512,1
513,0
514,0
515,1
516,1
517,1
518,0
519,1
520,0
521,0
522,1
523,0
524,0
525,1
526,0
527,0
528,1
529,1
530,0
531,0
532,1
533,0
534,1
535,0
536,1
537,1
538,1
539,1
540,1
541,0
542,1
543,1
544,1
545,0
546,1
547,1
548,0
549,1
550,0
551,0
552,1
553,1
554,1
555,1
556,0
557,1
558,1
559,1
560,0
561,1
562,0
563,0
564,0
565,1
566,0
567,1
568,1
569,0
570,1
571,0
572,1
573,1
574,0
575,1
576,0
577,1
578,0
579,1
580,1
581,1
582,1
583,0
584,0
585,1
586,1
587,1
588,1
589,1
590,0
591,1
592,1
593,0
594,1
595,1
596,0
597,0
598,1
599,0
600,0
601,1
602,0
603,0
604,0
605,0
606,1
607,1
608,0
609,0
610,1
611,0
612,1
613,0
614,0
615,1
616,0
617,0
618,1
619,0
620,1
621,1
622,0
623,0
624,0
625,1
626,0
627,1
628,0
629,0
630,1
631,1
632,0
633,0
634,0
635,0
636,1
637,0
638,1
639,0
640,0
641,0
642,0
643,1
644,1
645,0
646,0
647,0
648,0
649,0
650,0
651,0
652,0
653,0
654,1
655,0
656,0
657,0
658,0
659,1
660,0
661,1
662,1
663,0
664,1
665,0
666,0
667,0
668,1
669,0
670,0
671,0
672,1
673,1
674,1
675,1
676,0
677,1
678,0
679,1
680,0
681,0
682,0
683,0
684,0
685,0
686,1
687,1
688,1
689,1
690,1
691,0
692,0
693,0
694,0
695,0
696,1
697,1
698,0
699,0
700,0
701,0
702,0
703,0
704,0
705,1
706,0
707,1
708,0
709,0
710,0
711,1
712,0
713,0
714,1
715,0
716,1
717,0
718,0
719,0
720,1
721,1
722,0
723,0
724,1
725,0
726,1
727,0
728,0
729,1
730,0
731,1
732,1
733,1
734,1
735,0
736,0
737,1
738,1
739,0
740,1
741,1
742,0
743,1
744,0
745,1
746,1
747,0
748,1
749,1
750,0
751,0
752,0
753,0
754,1
755,1
756,0
757,0
758,1
759,0
760,1
761,0
762,1
763,1
764,0
765,1
766,1
767,1
768,0
769,0
770,1
771,0
772,1
773,1
774,1
775,0
776,1
777,0
778,0
779,0
780,1
781,0
782,0
783,1
784,1
785,1
786,0
787,0
788,0
789,0
790,0
791,0
792,0
793,0
794,0
795,1
796,1
797,1
798,1
799,0
800,1
801,1
802,0
803,0
804,1
805,1
806,0
807,0
808,0
809,1
810,1
811,0
812,1
813,0
814,1
815,0
816,0
817,1
818,1
819,0
820,1
821,1
822,0
823,0
824,0
825,1
826,0
827,0
828,0
829,0
830,1
831,1
832,0
833,0
834,1
835,0
836,1
837,1
838,1
839,0
840,0
841,0
842,0
843,0
844,0
845,0
846,1
847,0
848,0
849,0
850,0
851,1
852,0
853,0
854,0
855,0
856,0
857,0
858,0
859,1
860,1
861,0
862,1
863,0
864,1
865,0
866,0
867,1
868,1
869,1
870,1
871,1
872,0
873,0
874,0
875,0
876,0
877,0
878,0
879,0
880,0
881,0
882,1
883,0
884,1
885,1
886,0
887,1
888,0
889,1
890,0
891,1
892,1
893,1
894,0
895,0
896,1
897,0
898,1
899,1
900,1
901,0
902,1
903,1
904,1
905,1
906,0
907,1
908,0
909,0
910,0
911,0
912,0
913,0
914,0
915,1
916,0
917,1
918,1
919,1
920,0
921,1
922,1
923,0
924,1
925,0
926,0
927,0
928,0
929,1
930,0
931,0
932,1
933,1
934,1
935,1
936,0
937,0
938,1
939,1
940,0
941,1
942,0
943,0
944,1
945,1
946,0
947,1
948,0
949,1
950,0
951,0
952,1
953,0
954,1
955,0
956,0
957,1
958,1
959,0
960,0
961,1
962,1
963,0
964,0
965,1
966,0
967,0
968,1
969,1
970,0
971,0
972,1
973,0
974,0
975,0
976,0
977,1
978,0
979,0
980,1
981,1
982,1
983,1
984,1
985,1
986,0
987,1
988,0
989,0
990,0
991,0
992,1
993,0
994,0
995,0
996,0
997,0
998,1
999,1
1000,0
1001,1
1002,0
1003,0
1004,0
1005,1
1006,0
1007,0
1008,1
1009,0
1010,0
1011,0
1012,0
1013,0
1014,0
1015,1
1016,0
1017,1
1018,0
1019,1
1020,0
1021,0
1022,1
1023,0
1024,1
1025,1
1026,0
1027,1
1028,0
1029,1
1030,0
1031,0
1032,0
1033,0
1034,0
1035,0
1036,0
1037,0
1038,1
1039,0
1040,1
1041,1
1042,1
1043,0
1044,0
1045,0
1046,1
1047,1
1048,1
1049,1
1050,1
1051,1
1052,1
1053,1
1054,1
1055,1
1056,0
1057,1
1058,1
1059,0
1060,0
1061,0
1062,1
1063,0
1064,1
1065,0
1066,1
1067,0
1068,0
1069,1
1070,1
1071,1
1072,1
1073,1
1074,0
1075,0
1076,1
1077,0
1078,0
1079,0
1080,0
1081,0
1082,0
1083,1
1084,0
1085,0
1086,0
1087,0
1088,0
1089,0
1090,0
1091,1
1092,1
1093,0
1094,1
1095,1
1096,0
1097,0
1098,0
1099,1
1100,0
1101,1
1102,0
1103,1
1104,0
1105,0
1106,0
1107,0
1108,0
1109,0
1110,1
1111,0
1112,1
1113,0
1114,0
1115,1
1116,0
1117,1
1118,1
1119,0
1120,1
1121,0
1122,0
1123,1
1124,0
1125,0
1126,1
1127,1
1128,1
1129,0
1130,0
1131,1
1132,1
1133,1
1134,0
1135,1
1136,0
1137,0
1138,0
1139,1
1140,0
1141,0
1142,0
1143,0
1144,0
1145,0
1146,1
1147,0
1148,1
1149,1
1150,0
1151,0
1152,1
1153,1
1154,1
1155,0
1156,1
1157,0
1158,1
1159,1
1160,0
1161,0
1162,0
1163,1
1164,1
1165,0
1166,0
1167,0
1168,0
1169,0
1170,1
1171,1
1172,1
1173,1
1174,0
1175,1
1176,0
1177,1
1178,0
1179,0
1180,0
1181,0
1182,0
1183,1
1184,0
1185,0
1186,1
1187,0
1188,0
1189,1
1190,0
1191,0
1192,0
1193,1
1194,1
1195,0
1196,0
1197,0
1198,0
1199,0
1200,1
1201,1
1202,0
1203,0
1204,1
1205,1
1206,0
1207,0
1208,0
1209,0
1210,0
1211,1
1212,0
1213,1
1214,1
1215,0
1216,0
1217,1
1218,1
1219,1
1220,1
1221,1
1222,0
1223,0
1224,0
1225,0
1226,0
1227,1
1228,0
1229,0
1230,0
